location_id,edge_id,snap_distance_m,mapping_status,mapping_confidence,network_version,sensor_name,sensor_description,source_status,quality_flags
40,edge_4a21c411467464aaae12a7bf,1.832,AUTO,HIGH,cceb975fc0c92f16f660,Spr201_T,Lonsdale St-Spring St (West),A,[]
41,edge_3302c0215c5cb8c9bc2effb2,2.181,AUTO,HIGH,cceb975fc0c92f16f660,Swa31,Flinders La-Swanston St (West),A,[]
42,edge_6144a804c1300ae2e6b1cd6e,2.067,AUTO,HIGH,cceb975fc0c92f16f660,UM1_T,Grattan St-Swanston St (West),A,[]
43,edge_bce836bb4a17ff831c9f7357,5.709,AUTO,HIGH,cceb975fc0c92f16f660,UM2_T,Monash Rd-Swanston St (West),A,[]
44,edge_90517610bd671ac4d9e12680,1.874,AUTO,HIGH,cceb975fc0c92f16f660,UM3_T,Tin Alley-Swanston St (West),A,[]
45,edge_5d4a0e9ddec573992e71bec8,2.315,AUTO,HIGH,cceb975fc0c92f16f660,Swa148_T,Little Collins St-Swanston St (East),A,[]
46,edge_12493759f76dd65e3fba017f,4.218,AUTO,HIGH,cceb975fc0c92f16f660,Pel147_T,Pelham St (South),A,[]
47,edge_5746df3c3e35ec5e778a1aaa,0.048,AUTO,HIGH,cceb975fc0c92f16f660,Eli250_T,Melbourne Central-Elizabeth St (East),A,[]
48,edge_911f86e1be27ee28628196dd,1.144,AUTO,HIGH,cceb975fc0c92f16f660,QVMQ_T,QVM-Queen St (East),A,[]
49,edge_f0d2a99af008fb9be06dfc35,5.451,AUTO,HIGH,cceb975fc0c92f16f660,Eli501_T,QVM-Therry St (South),A,[]
50,edge_0ac220200dc12584adc90fe9,1.153,AUTO,HIGH,cceb975fc0c92f16f660,Lyg309_T,Faraday St-Lygon St (West),A,[]
51,edge_d900d38c1141c3376d555193,1.351,AUTO,HIGH,cceb975fc0c92f16f660,Fra118_T,QVM-Franklin St (North),A,[]
52,edge_4d2a8dab02c60f1c974309f2,1.436,AUTO,HIGH,cceb975fc0c92f16f660,Eli263_T,Elizabeth St-Lonsdale St (South),A,[]
53,edge_93c02ac7a160f090a0a91557,2.933,AUTO,HIGH,cceb975fc0c92f16f660,Col254_T,Collins Street (North),A,[]
54,edge_2c4cd4f3c768938e83423ad5,7.494,AUTO,HIGH,cceb975fc0c92f16f660,Swa607_T,Lincoln-Swanston (West),A,[]
